Birth Country,Birthday 1,Birthday 2,Birthday 3,Birthday 4,Birthday 5,Birthday 6 ,Birthday 7,Birthday 8,Birthday 9,Birthday 10
Haiti,1981,1996,1993,1977,,,,,,
Venezuela,1983,1975,2012,,,,,,,
Haiti,1992,1993,,,,,,,,
Venezuela,1989,,,,,,,,,
Guatemala,1991,2014,,,,,,,,
Mexico,1995,1989,,,,,,,,
Guatemala,1995,1971,1991,1997,2016,2018,,,,
Venezuela,2001,1995,,,,,,,,
Mexico,1989,1992,2009,2021,,,,,,
Venezuela,1993,1991,,,,,,,,
Honduras,1990,2020,,,,,,,,
Honduras,1992,2019,,,,,,,,
Venezuela,1993,1992,2011,2013,2018,,,,,
Haiti,1979,1988,1979,,,,,,,
Honduras,1984,2021,,,,,,,,
Honduras,1981,1988,2019,2013,,,,,,
Venezuela,1979,1976,,,,,,,,
